ITEM_LRDV_NM,ITEM_MDDV_NM,ITEM_SMDV_NM,item_count
빵,간식빵,샌드빵,154
양주와인,양주,기타양주,153
아이스크림,고급,케익,152
냉장,냉장간식,간식/소시지,152
건강/기호식품,원컵,믹스커피,151
음료,스포츠음료,스포츠음료(중),151
전통주,선물세트,택배선물세트,151
건강/기호식품,차,분말차류,149
냉동,냉동간편식,냉동밥,149
미반,푸드 간편식,안주/반찬,149
건강/기호식품,커피,원두커피,147
가공식품,가공미반류,즉석컵밥,144
건강/기호식품,건강/이너뷰티,건강기능식품,143
맥주,국산맥주,수제맥주,143
음료,주스,주스(대),141
아이스크림,홈타입,카톤,141
음료,생수,500ml이하,141
음료,차음료,홍차,140
즉석 식품,즉석간식,어묵,140
과자,껌,케이스껌,136
면,용기면,숙면/건면,136
냉장,냉장간식,삶은계란,134
음료,기능성드링크,비타민음료,133
냉동,냉동만두,트레이만두,132
유음료,가공우유,초코우유,131
유음료,컵커피,300ml 이상,130
유음료,가공우유,커피우유,129
가공식품,가공미반류,즉석밥,129
가공식품,상온간편식,레토르트 반찬/간식/안주,129
과자,프로틴/시리얼,영양바류,126
냉장,냉장안주,치킨안주,126
냉장,냉장안주,족발/순대,126
맥주,수입맥주,캔맥주(소),125
맥주,선물세트,선물세트,125
양주와인,하이볼,수입하이볼,123
아이스크림,고급,바,122
전통주,기타전통주,과실주,121
음료,주스,주스(소캔),120
미반,초밥류,유부초밥,120
냉동,조리냉동,냉동안주류,119
조미료/건물,장류,간장,119
미반,도시락,미니도시락,118
맥주,국산맥주,캔맥주(소),117
신선,쌀/잡곡,백미,117
아이스크림,고급,기타,116
냉동,신선냉동,냉동축산,115
빵,간식빵,도너츠,115
가공식품,상온간편식,즉석 국/스프,113
맥주,수입맥주,병맥주,112
간식,조리면,조리면,112
가공식품,상온간편식,레토르트 소스/분말,111
음료,선물세트,기타,111
냉장,냉장안주,육가공안주,111
냉장,냉장간식,냉장 프로틴,111
즉석음료,컨셉카페,소프트,111
맥주,국산맥주,캔맥주(중),110
유음료,가공우유,딸기우유,109
가공식품,가공미반류,쌀가공식,108
빵,식빵,식빵,108
전통주,기타전통주,중국/일본주,106
즉석 식품,즉석치킨,세트류,105
안주,스낵안주,일반스낵,104
음료,차음료,녹차,104
냉장,냉장간편식,소스/양념류,104
맥주,국산맥주,병맥주,104
건강/기호식품,원컵,국산차,101
디저트,냉장베이커리,냉장과자,101
조리빵,샌드위치,토스트샌드,100
조미료/건물,조미료,복합조미료/향신료,99
건강/기호식품,원컵,원두커피,99
유음료,가공우유,바나나우유,99
음료,기능성드링크,에너지음료,98
조리빵,햄버거,핫도그/머핀,98
음료,기능성드링크,숙취해소음료,97
냉장,냉장간식,맛살,97
안주,생선류,수산물,97
건강/기호식품,쨈/꿀,쨈,96
과자,스낵류,알뜰절약상품,96
음료,커피음료,캔커피(보틀),96
조미료/건물,소스류,드레싱/디핑소스,96
음료,탄산음료,제로탄산,95
냉동,냉동간편식,냉동면,95
건강/기호식품,숙취해소제,환제형,94
음료,생수,1000ml이상,93
유음료,흰우유,흰우유(소),92
음료,스포츠음료,스포츠음료(소),91
전통주,소주,페트소주,89
가공식품,캔,수산캔,88
음료,커피음료,PET커피,88
양주와인,와인,기타와인,87
미반,샐러드,조리샐러드,85
유음료,두유,두유선물세트,84
안주,농산안주,농산물,82
유음료,냉장주스,유산균음료,82
즉석음료,컨셉카페,걸프/슬러피,82
신선,과일,건물/견과류,81
냉장,냉장간편식,냉장떡볶이,79
음료,전통음료,전통음료(중),76
과자,프로틴/시리얼,행사상품,76
간식,샐러드(삭제예정),조리샐러드(삭제예정),75
디저트,젤리,푸딩,74
신선,과일,간편과일,73
건강/기호식품,커피,커피분말,73
안주,생선류,어육스낵,73
조미료/건물,식용유지,참기름,72
음료,생수,탄산수,72
과자,초콜릿,어린이초콜릿,72
디저트,젤리,마시는젤리,71
빵,구움과자,생과자,71
유음료,흰우유,흰우유(대),71
즉석 식품,즉석조리,빅바이트,71
음료,기능성드링크,홍삼음료,70
